"id"	"type"	"title"	"state"	"score"	"missing"	"acceptanceCriteria"	"description"	"devNotes"	"qaNotes"	"tags"	"reviewEvidence"
"198415"	"Bug"	"Agent7: Full Cycle > Dropping the latch of the last SBD II/HD location immediately triggers the SupplyLock door open and proceeds directly to SupplyLock transaction screen"	"Branch Checkin"	"3/4"	"QANotes"	"Dropping the latch on the last SBD II/HD location should not auto-unlock/open SupplyLock Gen2B / SupplyLock 2.0 door When transitioning to a SupplyLock 2.0 location , the app should: Wait for explicit user action before unlocking/opening the SupplyLock 2.0 (Door should be manually opened by user - Just like behavior of lid/cover) User may click Next button on last SBD II / HD transaction screen to proceed to SupplyLock 2.0 location When transitioning to a SupplyLock Gen2B location , the app should: User may click Next button on last SBD II / HD transaction screen to proceed to SupplyLock Gen2B location"	"Issue: Dropping the latch of the last SBD II/HD location immediately triggers the SupplyLock door open and proceeds directly to SupplyLock transaction screen Environment: QA Additional Info: Devnotes: ### Change Summary ### What Changed: Instead of automatically unlocking the SupplyLock when on the last HD/SBD pocket, the user must click the Next button to unlock the SupplyLock. What Was Impacted: Inventory full cycle count What Must Be Tested: Inventory full cycle count with SBD locations immediately followed by SupplyLock (2.0/Gen2B) locations. ### Peer Review ### Buddy Tested by: Buddy Test Date: Buddy Test Status:"	"### Change Summary ### What Changed: Instead of automatically unlocking the SupplyLock when on the last HD/SBD pocket, the user must click the Next button to unlock the SupplyLock. What Was Impacted: Inventory full cycle count What Must Be Tested: Inventory full cycle count with SBD locations immediately followed by SupplyLock (2.0/Gen2B) locations."	""	"18.4; 18.4.20"	"Field"
"198500"	"Product Backlog Item"	"Agent7 18.4: Full Cycle: Remove Side-Menu Buttons during Full-Cycle workflow"	"Branch Checkin"	"2/4"	"DevNotes, QANotes"	"Remove Side Menu buttons (Logout, Admin, User) when user is on a FullCycle process."	"Purpose: Enhancement : Full-Cycle => Remove Side-menu buttons when user is full-cycle workflow. Description : When user enters Full Cycle workflow, the side-menu btn (""User"", ""Logout"", ""Admin-Menu"") are still available and lead to user flow disruptions. We need to remove the button and only the ""Back"" and ""Next"" btns to guide the user. Risk & Impact: {TBD} Scope of Work: Additional Notes: Devnotes: ### Change Summary ### What Changed: What Was Impacted: What Must Be Tested: ### Peer Review ### Buddy Tested by: Buddy Test Date: Buddy Test Status:"	""	""	"18.4; 18.4.20; pt_agent7"	"Field"
"193060"	"Bug"	"Agent7:  Rapid Refill — Unable to Refill when pocket's Physical Max is set to No Limit. It keeps prompting  'All locations for this product are at Physical Max'"	"Branch Checkin"	"4/4"	""	"Case 1: If a product is assigned to only one pocket and that pockets Physical Max is set to No Limit , the user should be shown the message: This location is not using Physical Max. Unable to calculate refill quantity. When doing Rapid Refill. Case 2: If a product is assigned to multiple pockets , and any of those pockets has its Physical Max set to No Limit , then when the user attempts a Rapid Refill for that product, they should be shown the message: This location is not using Physical Max. Unable to calculate refill quantity. Note: The user should still be able to perform Rapid Refill on pockets where Physical Max is not set to No Limit."	"Purpose: To fix the issue on Rapid Refill where we cannot do the Refill > ProductName when Pocket's Physical Limit is No Limit. It keeps prompting All locations for this product ar e at Physical Max. Additional Info: Devnotes: ### Change Summary ### What Changed: What Was Impacted: What Must Be Tested: ### Peer Review ### Buddy Tested by: Roland Buddy Test Date: 12/1/2025 Buddy Test Status: Passed ## Code Review Score ## Code Correctness: Use of Best Practices: Problem-Solving Approach: Readability & Maintainability:"	"What Changed: Updated the validation for rapid refill to also include pockets that have no physical limit. What Was Impacted: Rapid refill for products loaded in multiple locations, with at least one location having a physical limit and one location having no physical limit. What Must Be Tested: Rapid refill by Device Scenario 1: Product is loaded to single location, Physical max is No Limit Scenario 2: Product is loaded to multiple location, 1 location for Physical max is No Limit, other location has Physical Scenario 3: Product is loaded to multiple locations; all locations have physical max and should show the message "" All locations for this product are at Physical Max""."	"Date: 12/15/2025, QA: Trisha Device: 914069 SMD Res: 1024x768 Version: v70.18.4.18_20251209.3 HDD: v4.1.48.04_02 Login: qauser/pass1234/nqa Product type tested: Standard, Checkout, Consumable Status: REOPEN REOPEN issue: 1. In Rapid refill by Product name, the product WITH phy max should not prompt the error ""This location is not using Physical Max.."", must prompt only for product that has NO LIMIT. Summary: Case 1 = PASSED If a product is assigned to only one pocket and that pockets Physical Max is set to No Limit , the user should be shown the message: This location is not using Physical Max. Unable to calculate refill quantity. When doing Rapid Refill. Case 2: If a product is assigned to multiple pockets , and any of those pockets has its Physical Max set to No Limit , then when the user attempts a Rapid Refill for that product, they should be shown the message: This location is not using Physical Max. Unable to calculate refill quantity. Note: The user should still be able to perform Rapid Refill on pockets where Physical Max is not set to No Limit. Date: 12/02/2025, QA: Trisha Device: 913992 SMD Res: 1024x768 Version: v70.18.4.16_20251201.1 HDD: v4.1.48.04_02 Login: qauser/pass1234/nqa Product type tested: Standard, Checkout, Consumable Status: PENDING - To be tested on NEXT build version . Acceptance criteria was updated."	"18.4; 18.4.16; 18.4.18; 18.4.20; BD.Roland"	"Field"
"197797"	"Bug"	"Agent7:  SL Gen2B: Take: App logs out user when clicking Back during Take on SL Gen2B if SupplyLock is already opened"	"Branch Checkin"	"3/4"	"QANotes"	"Expected Result: Clicking Back during Take/Return on SL Gen2B should redirect the user to the Select Product screen, not log them out. Actual Result: User is logged out immediately after clicking Back . Video demonstrating the issue (attached). Note: Issue occurs on both Take/Return and Take filter screens."	"Description: When attempting to ""Take"" an item on SL Gen2B while the SupplyLock is already open, clicking the Back button logs out the user. This behavior is unexpected; the app should simply redirect to the Select Product screen. This issue also occurs when using the Take filter. Risk & Impact: {TBD} Additional Info: Devnotes: ### Change Summary ### What Changed: What Was Impacted: What Must Be Tested:"	"### Change Summary ### What Changed: Handled code exception in BLSmartDrawerTakeR2 when SupplyLock is already open during a take transaction. What Was Impacted: Take workflow for SupplyLock when it is already open with DispensePrompt 126 (Allow Qty to be changed while locker door is open) enabled. What Must Be Tested: Open SupplyLock Take workflow"	""	"18.4; 18.4.20"	"Field"
"197801"	"Bug"	"Agent7: UI: Product name overlaps Disabled status in Admin Select location pages (600 x 1024p 7"")"	"Branch Checkin"	"3/4"	"QANotes"	"fix the overlapping issues on admin pages"	"Description: Risk & Impact: {TBD} Additional Info: Devnotes: ### Change Summary ### What Changed: What Was Impacted: What Must Be Tested:"	"### Change Summary ### What Changed: A7PocketPanelItem class. What Was Impacted: Pocket locations list in Admin transactions. What Must Be Tested: Verify that a long product name associated with a disabled pocket is displayed correctly in Admin transactions."	""	"18.4; 18.4.20; Regression Bug"	"Field"
"197798"	"Bug"	"Agent7 18.4: During Logout Polling, skip messages such as Purge Partial BT and other Full BT. These messages should not be included in the Auto Poll on Logout"	"In Development"	"3/4"	"QANotes"	"During Logout, figure what messages are included, if its Purge or other BT initiialization, then we should skip in during the logout polling. Other messages should still be polled during Logout auto Polling."	"Purpose: Stop the process if we see a start of build inmsg. I think that was in the original requirement, to stop processing message if its has the purge (sample: PAG partial BT) otherwise, if without purge, partial BT can be processed, and any BT initial message. If we can figure what Build msg be, should be skipped in the logout polling. Risk & Impact: {TBD} Additional Info: Devnotes: ### Change Summary ### What Changed: What Was Impacted: What Must Be Tested: ### Peer Review ### Buddy Tested by: Buddy Test Date: Buddy Test Status:"	"### Change Summary ### What Changed: - BPInMsg and BLPoll classes. - Exclude SQLiteBTEx from message processing when it is downloaded during auto-poll on logout. What Was Impacted: - Processing of InMsg downloaded through auto-poll. What Must Be Tested: - SQLiteBTEx, partial BTs (Product, User, etc.), and build InMsgs should not be processed when downloaded through auto poll. ### Peer Review ### Buddy Tested by: Buddy Test Date: Buddy Test Status:"	""	"18.4; 18.4.20; ENT; Main Site"	"Field"
"198110"	"Bug"	"Agent7: Users > T/R: Selecting a Product Category lights up all Doors/Drawers instead of only those assigned to the selected category"	"Branch Checkin"	"4/4"	""	"Expected Result Only Doors/Drawers containing products assigned to the selected category should light up Doors/Drawers with products not in the selected category should remain unlit"	"Module / Page Users  Take / Return (T/R) When filtering products using the Product Category option on the Users  Take/Return page, the UI correctly filters the product list, but all loaded physical machines (Doors/Drawers) still light up. Only the machines associated with products assigned to the selected category should light up. Machines that are not associated with the selected category should remain unlit. Environment: QA Additional Info: Devnotes: ### Change Summary ### What Changed: What Was Impacted: What Must Be Tested: ### Peer Review ### Buddy Tested by: Buddy Test Date: Buddy Test Status:"	"Devnotes: Odeña F. - 12-23-2025 ### Change Summary ### What Changed: BLNewSelectProductUser - Updated filtering of pocket in GetProductsToDisplay(), created a list of categoryIDs to include lower nodes. - Removed duplicate call of the fliter method inside buttonProductCategory - Removed old code of filtering category products What Was Impacted: -Select Product page What Must Be Tested: -Select Product page > Select Category - Only products under the selected category should lit."	""	"18.4; 18.4.20"	"Field"
"198238"	"Bug"	"Agent7: Full Cycle > Clicking the User button while on the “Open pocket..” screen causes the application to unexpectedly log out the user after 2–3 attempts"	"Branch Checkin"	"3/4"	"QANotes"	"Clicking the User button on the Open Pocket screen should: Open the User menu without logging out The user should not be logged out unless: Logout is intentionally selected"	"Issue: Clicking the User button while on the Open pocket.. screen causes the application to unexpectedly log out the user after 23 attempts Environment: QA Additional Notes: Devnotes: ### Change Summary ### What Changed: What Was Impacted: What Must Be Tested: ### Peer Review ### Buddy Tested by: Buddy Test Date: Buddy Test Status:"	"Devnotes: Odeña F. - 12-23-2025 ### Change Summary ### What Changed: BLInventoryFullCycle - Added try-catch clause inside EnterQtySBD method to handle errors on dialog What Was Impacted: Inventory > Full Cycle > HD OR SBD What Must Be Tested: Inventory > Full Cycle > HD OR SBD - In ""Open pocket.."" screen, when user clicks USER button, it should navigate to User Select Product screen"	""	"18.4; 18.4.20"	"Field"
"197831"	"Bug"	"Agent7: Transaction Credit – “Please close lid x-xxxx” message appears when returning an item on a VIM through the Transaction Credit module"	"Branch Checkin"	"3/4"	"QANotes"	"The message Please close lid x-xxxx should no longer appear when doing Transaction Credit on VIM"	"This screen appears when returning an item on VIM via Transaction credit module. Additional Info: Devnotes: ### Change Summary ### What Changed: What Was Impacted: What Must Be Tested: ### Peer Review ### Buddy Tested by: Buddy Test Date: Buddy Test Status: ## Code Review Score ## Code Correctness: Use of Best Practices: Problem-Solving Approach: Readability & Maintainability:"	"Devnotes: Odeña F. - 12-20-2025 ### Change Summary ### What Changed: BPCreditTransaction - EnterQty - Added condition to not wait for door close if controllerType is Virtual What Was Impacted: Transaction Credit What Must Be Tested: Transaction Credit > EnterQty > After confirming the transaction, it should not show ""please close lid"" prompt for virtual pockets"	""	"18.4; 18.4.20"	"Field"
"196768"	"Bug"	"Agent7: Login Hierarchy Allocation prompts twice when hierarchy nodes have assigned product"	"Branch Checkin"	"2/4"	"DevNotes, QANotes"	"Hierarchy Allocation prompt must display only once when going through login allocation codes Behavior must be consistent whether or not products are assigned to the hierarchy nodes. No duplicate prompts should appear during the login flow."	"Purpose: the Hierarchy Allocation prompt appears twice instead of only once. This causes confusion and unnecessary additional input for the user. Note: the second input/answer gets to be recorded in the ssis raw report note this is not happening in 17.1 pls see video for the issue Risk & Impact: {TBD} Additional Info: Devnotes: ### Change Summary ### What Changed: What Was Impacted: What Must Be Tested: ### Peer Review ### Buddy Tested by: Buddy Test Date: Buddy Test Status:"	""	""	"18.4; 18.4.20; BD: Fidel; ENT; Legacy Site; Main Site"	"Field"
